config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size
C инверсия η=0.3,C,0.3,XGBoost,1,20260803,0.2886,1.0,1.0,0.3261,0.8746,0.099,0.8922,0.3984,0.5338,1.218
R шум σ×0.25,R,0.25,XGBoost,1,20260803,0.3694,1.0,1.0,0.7549,0.6617,0.681,0.6517,0.6862,0.9223,1.715
R шум σ×0.5,R,0.5,XGBoost,1,20260803,0.3158,1.0,1.0,0.8126,0.6187,0.6725,0.6481,0.6842,0.9054,1.73
R шум σ×1.0,R,1.0,XGBoost,1,20260803,0.2907,1.0,1.0,0.9217,0.5607,0.6551,0.6669,0.6893,0.8429,1.701
R шум σ×1.5,R,1.5,XGBoost,1,20260803,0.3052,1.0,1.0,0.9997,0.5262,0.6387,0.6422,0.6815,0.8395,1.765
R шум σ×2.0,R,2.0,XGBoost,1,20260803,0.3051,1.0,1.0,0.9764,0.485,0.6348,0.6532,0.6657,0.8024,1.747
D невозможный АМГ,D,0.1,XGBoost,1,20260803,0.3719,0.0,1.0,0.7178,0.707,0.709,0.6574,0.0,0.9054,1.721
D противоречие ИМТ,D,0.1,XGBoost,1,20260803,0.3806,0.0,1.0,0.6517,0.7276,0.7336,0.6737,0.0,0.9054,1.677
D пропуск АМГ,D,0.2,XGBoost,1,20260803,0.3813,0.0,1.0,0.6493,0.7343,0.7298,0.6498,0.0,0.9155,1.726
D ошибка единиц,D,0.1,XGBoost,1,20260803,0.3825,0.0,1.0,0.6955,0.7121,0.7025,0.6554,0.0,0.9037,1.72
M0 эталон,—,0.0,XGBoost,0,20260804,0.3967,1.0,1.0,0.6551,0.7298,0.7402,0.6639,0.6962,0.9105,1.699
T утечка ρ=0.1,T,0.1,XGBoost,1,20260804,0.3338,1.0,0.0,0.5482,0.7435,0.7035,0.6948,0.0,0.9037,1.628
T утечка ρ=0.3,T,0.3,XGBoost,1,20260804,0.4261,1.0,0.0,0.5437,0.7473,0.6835,0.6906,0.0,0.9291,1.637
T утечка ρ=0.5,T,0.5,XGBoost,1,20260804,0.5125,1.0,0.0,0.4756,0.7929,0.6582,0.7728,0.0,0.9105,1.465
