config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
C инверсия η=0.3,C,0.3,RandomForest,1,20260804,0.2744,1.0,3.0,1.0,1.0,0.3168,0.9062,0.0987,0.3333,0.3118
R сглаж. λ=0.1,R,0.1,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,0.5383,0.7612,0.7262,0.7075,0.6774
R сглаж. λ=0.25,R,0.25,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,0.6546,0.7612,0.7262,0.7075,0.7113
R сглаж. λ=0.5,R,0.5,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,1.0,0.7612,0.7262,0.7075,0.7908
R сглаж. λ=0.75,R,0.75,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,1.0,0.7612,0.7262,0.7075,0.7908
R сглаж. λ=0.9,R,0.9,RandomForest,1,20260804,0.4065,0.8834,1.6,1.0,1.0,1.0,0.7612,0.7262,0.7075,0.7908
D невозможный АМГ,D,0.1,RandomForest,1,20260804,0.3877,0.897,1.699,0.0,1.0,0.6016,0.7381,0.668,0.6768,0.0
D противоречие ИМТ,D,0.1,RandomForest,1,20260804,0.4119,0.8919,1.618,0.0,1.0,0.6093,0.7707,0.7116,0.6988,0.0
D пропуск АМГ,D,0.2,RandomForest,1,20260804,0.4083,0.8902,1.654,0.0,1.0,0.5883,0.7713,0.7273,0.6793,0.0
D ошибка единиц,D,0.1,RandomForest,1,20260804,0.3998,0.897,1.704,0.0,1.0,0.6002,0.7349,0.6803,0.6771,0.0
M0 эталон,—,0.0,HistGB,0,20260802,0.3951,0.8986,1.66,1.0,1.0,0.7955,0.753,0.7457,0.6782,0.7419
T утечка ρ=0.1,T,0.1,HistGB,1,20260802,0.3826,0.9071,1.666,1.0,0.0,0.6484,0.7365,0.7202,0.6807,0.0
T утечка ρ=0.3,T,0.3,HistGB,1,20260802,0.4223,0.9037,1.639,1.0,0.0,0.5431,0.7957,0.6776,0.6903,0.0
T утечка ρ=0.5,T,0.5,HistGB,1,20260802,0.4664,0.9139,1.541,1.0,0.0,0.5547,0.8036,0.6451,0.7376,0.0
T утечка ρ=0.7,T,0.7,HistGB,1,20260802,0.5783,0.8885,1.289,1.0,0.0,0.3771,0.8644,0.6331,0.8556,0.0
T утечка ρ=0.9,T,0.9,HistGB,1,20260802,0.815,0.9139,1.0,1.0,0.0,0.0962,0.9677,0.5572,1.0,0.0
F подмена η=0.1,F,0.1,HistGB,1,20260802,0.3951,0.8986,1.66,1.0,1.0,0.716,0.753,0.7457,0.6782,0.7226
